Age,Gender,Weight (kg),Height (m),Workout_Type,BMI
56,Male,88.3,1.71,Yoga,30.2
46,Female,74.9,1.53,HIIT,32
32,Female,68.1,1.66,Cardio,24.71
25,Male,53.2,1.7,Strength,18.41
38,Male,46.1,1.79,Strength,14.39
56,Female,58,1.68,HIIT,20.55
36,Male,70.3,1.72,Cardio,23.76
40,Female,69.7,1.51,Cardio,30.57
28,Male,121.7,1.94,Strength,32.34
28,Male,101.8,1.84,Cardio,30.07
41,Male,120.8,1.67,HIIT,43.31
53,Male,51.7,1.7,HIIT,17.89
57,Male,112.5,1.61,Cardio,43.4
41,Male,94.5,2,HIIT,23.62
20,Male,117.7,1.81,Yoga,35.93
39,Female,42.5,1.75,Strength,13.88
19,Female,64,1.53,HIIT,27.34
41,Female,43.8,1.77,Cardio,13.98
47,Female,66.8,1.75,Strength,21.81
55,Female,75.2,1.67,HIIT,26.96
19,Male,89,1.77,Strength,28.41
38,Male,71.9,1.77,Cardio,22.95
50,Female,71,1.68,Yoga,25.16
29,Male,120.9,1.78,Yoga,38.16
39,Female,64.3,1.69,HIIT,22.51
42,Female,63.7,1.71,Yoga,21.78
44,Male,65.2,1.8,HIIT,20.12
59,Male,53.9,1.75,Strength,17.6
45,Male,84.9,1.86,HIIT,24.54
33,Female,78,1.68,HIIT,27.64
32,Male,108.2,1.8,HIIT,33.4
20,Female,65.4,1.52,Yoga,28.31
54,Female,50.2,1.61,HIIT,19.37
24,Female,58.9,1.51,Cardio,25.83
38,Male,81.4,1.71,HIIT,27.84
26,Male,127.6,1.73,Strength,42.63
56,Female,59.3,1.56,Cardio,24.37
35,Male,96.9,1.71,Strength,33.14
21,Male,62.6,1.81,Strength,19.11
42,Male,45.5,1.6,Strength,17.77
31,Female,48.8,1.51,Cardio,21.4
26,Female,44.3,1.6,Cardio,17.3
43,Male,113.2,1.83,Yoga,33.8
19,Female,60.5,1.59,Cardio,23.93
37,Male,124.2,1.76,HIIT,40.1
45,Male,52.4,1.85,Strength,15.31
24,Male,54.7,1.74,Yoga,18.07
25,Male,88.1,1.95,Cardio,23.17
52,Female,59.7,1.71,Strength,20.42
31,Female,79.7,1.54,Cardio,33.61
34,Female,51,1.62,Yoga,19.43
53,Male,84.2,1.76,Cardio,27.18
57,Male,122.1,1.89,Cardio,34.18
21,Male,96.7,1.72,Strength,32.69
19,Female,73,1.79,HIIT,22.78
23,Male,114.8,1.6,Cardio,44.84
59,Female,65.5,1.52,Yoga,28.35
21,Female,50.3,1.52,Cardio,21.77
46,Female,61,1.71,Cardio,20.86
35,Female,44.6,1.62,HIIT,16.99
43,Female,58.2,1.61,Strength,22.45
51,Female,44.8,1.63,Yoga,16.86
27,Male,87.5,1.63,Strength,32.93
53,Male,51.8,1.74,Strength,17.11
31,Female,64.4,1.7,Strength,22.28
48,Female,67.1,1.61,Cardio,25.89
32,Male,85.9,1.6,HIIT,33.55
25,Female,65.4,1.77,Cardio,20.88
31,Female,61.1,1.76,Yoga,19.72
40,Male,106.5,1.65,HIIT,39.12
57,Female,64,1.52,Strength,27.7
38,Female,61.4,1.54,HIIT,25.89
33,Female,40.5,1.63,Yoga,15.24
35,Male,70.1,1.79,Cardio,21.88
41,Male,94.1,1.62,Cardio,35.86
43,Male,55.5,1.82,Strength,16.76
42,Female,53.7,1.72,Cardio,18.15
58,Female,66.1,1.75,Cardio,21.58
46,Male,103.9,1.77,Yoga,33.16
32,Female,61.7,1.58,HIIT,24.72
18,Female,52.3,1.74,Cardio,17.27
42,Female,59.5,1.74,Yoga,19.65
24,Female,72.9,1.76,Yoga,23.53
26,Female,76.7,1.63,Strength,28.87
41,Male,72.1,1.83,Yoga,21.53
18,Female,54.8,1.68,Strength,19.42
25,Male,105,1.88,Cardio,29.71
41,Female,55,1.55,Strength,22.89
28,Male,81.6,1.66,Yoga,29.61
34,Female,75.6,1.6,HIIT,29.53
25,Male,81.5,1.61,HIIT,31.44
52,Female,61.5,1.69,Cardio,21.53
52,Male,74,1.63,Cardio,27.85
50,Female,56.4,1.59,HIIT,22.31
22,Male,102.6,1.84,Strength,30.3
59,Female,54.6,1.57,Cardio,22.15
56,Male,129,1.78,Yoga,40.71
58,Male,103.5,1.66,Cardio,37.56
45,Female,59.4,1.51,Strength,26.05
24,Female,60.1,1.79,Cardio,18.76
26,Male,77.7,1.62,Yoga,29.61
25,Female,41.2,1.62,Yoga,15.7
29,Male,58.6,1.61,Yoga,22.61
51,Male,109.3,1.78,Strength,34.5
50,Male,69.6,1.96,Strength,18.12
40,Female,56.2,1.79,Yoga,17.54
41,Male,71.7,1.96,Yoga,18.66
54,Male,86,1.93,Strength,23.09
52,Female,79.4,1.59,Strength,31.41
57,Female,78.4,1.62,Strength,29.87
39,Female,55.4,1.6,HIIT,21.64
44,Female,61.7,1.55,Strength,25.68
52,Male,85.5,1.82,Yoga,25.81
18,Male,87.6,1.93,HIIT,23.52
52,Male,82.4,1.72,Strength,27.85
54,Male,67,1.68,Yoga,23.74
31,Female,42.3,1.6,Cardio,16.52
20,Male,82.7,1.99,HIIT,20.88
18,Male,92.4,1.74,Yoga,30.52
22,Female,63.2,1.54,Cardio,26.65
43,Male,82.7,1.85,Yoga,24.16
31,Male,86.6,1.76,Strength,27.96
56,Male,129.5,1.95,Strength,34.06
44,Male,98,1.83,Cardio,29.26
26,Male,86.2,1.68,Strength,30.54
32,Male,78.6,1.62,Yoga,29.95
32,Female,59,1.66,Cardio,21.41
43,Female,57.3,1.79,Yoga,17.88
59,Male,122.3,1.89,Yoga,34.24
30,Male,85.3,1.95,Yoga,22.43
49,Female,45.2,1.74,Strength,14.93
56,Male,55.6,1.92,Strength,15.08
49,Male,82.8,1.95,Yoga,21.78
21,Male,125.2,1.66,HIIT,45.43
47,Female,58.5,1.79,Yoga,18.26
54,Male,86.1,1.95,Yoga,22.64
40,Female,63.5,1.61,Cardio,24.5
56,Male,69.3,1.68,Yoga,24.55
32,Female,70.5,1.62,Strength,26.86
46,Female,60.1,1.65,Cardio,22.08
53,Male,94.1,1.95,HIIT,24.75
30,Female,79.2,1.62,Cardio,30.18
49,Male,115.3,1.91,HIIT,31.61
24,Female,62.9,1.79,Cardio,19.63
39,Male,62,1.64,Cardio,23.05
45,Male,88.5,1.78,HIIT,27.93
19,Female,73.9,1.77,Strength,23.59
59,Male,50.3,1.95,Strength,13.23
23,Male,83.1,1.8,Strength,25.65
45,Female,65.1,1.78,Cardio,20.55
45,Male,46.6,1.79,Yoga,14.54
37,Male,103.5,1.89,Cardio,28.97
47,Female,61.9,1.54,Yoga,26.1
28,Female,52,1.61,Yoga,20.06
45,Male,113.4,1.71,Strength,38.78
42,Male,62.9,1.98,Yoga,16.04
56,Female,40.4,1.8,Cardio,12.47
50,Female,67.1,1.75,Cardio,21.91
18,Male,70,1.61,Strength,27.01
44,Female,69.5,1.75,HIIT,22.69
30,Male,107.9,1.66,Cardio,39.16
58,Male,109,1.91,Yoga,29.88
20,Male,101,1.91,Cardio,27.69
56,Male,88.5,1.85,Cardio,25.86
23,Male,80.9,1.8,Cardio,24.97
25,Female,43.1,1.62,HIIT,16.42
44,Female,59.1,1.52,Yoga,25.58
26,Female,54,1.53,Strength,23.07
54,Female,72.3,1.78,Cardio,22.82
50,Male,51.1,1.98,Yoga,13.03
59,Male,89.4,1.72,Yoga,30.22
41,Male,51.5,1.8,Strength,15.9
32,Male,87.9,1.88,Cardio,24.87
49,Female,42,1.52,HIIT,18.18
49,Male,79.2,1.72,Yoga,26.77
41,Male,64.8,1.71,Strength,22.16
58,Female,63,1.78,HIIT,19.88
29,Female,56.2,1.77,Yoga,17.94
56,Female,52.9,1.64,Cardio,19.67
19,Female,49,1.69,Yoga,17.16
20,Male,128.2,1.84,HIIT,37.87
54,Male,83.6,1.86,HIIT,24.16
34,Female,56.2,1.77,Cardio,17.94
19,Male,87.8,1.78,Cardio,27.71
19,Male,85.9,1.85,Strength,25.1
45,Male,51.1,1.87,Cardio,14.61
40,Female,57.4,1.71,Strength,19.63
54,Male,114.9,1.92,HIIT,31.17
49,Female,62.1,1.66,HIIT,22.54
50,Male,57.1,1.91,Yoga,15.65
18,Male,68.1,1.8,Yoga,21.02
36,Male,69.2,1.65,Strength,25.42
19,Female,65.2,1.52,Cardio,28.22
43,Male,108.6,1.73,Cardio,36.29
49,Female,40,1.65,Yoga,14.69
23,Female,41.9,1.58,HIIT,16.78
49,Female,68.3,1.52,Strength,29.56
21,Male,88.4,1.6,HIIT,34.53
28,Male,66,1.9,HIIT,18.28
34,Male,71.9,1.64,Cardio,26.73
55,Male,75.6,1.71,Strength,25.85
41,Female,63.4,1.59,HIIT,25.08
22,Female,71.6,1.77,Yoga,22.85
51,Female,57.4,1.77,Yoga,18.32
23,Male,83.8,1.99,Cardio,21.16
39,Female,55.9,1.71,Yoga,19.12
28,Male,87,1.76,Yoga,28.09
33,Female,65.3,1.71,HIIT,22.33
50,Male,45.4,1.67,Yoga,16.28
26,Male,87.1,1.87,Yoga,24.91
23,Female,78.6,1.73,HIIT,26.26
33,Female,78,1.71,Cardio,26.67
46,Female,58,1.53,Cardio,24.78
20,Female,71.3,1.69,Strength,24.96
37,Male,49.1,1.74,Yoga,16.22
53,Female,78.3,1.65,HIIT,28.76
36,Female,57.3,1.64,Strength,21.3
43,Female,48.4,1.61,Cardio,18.67
20,Male,76.4,1.62,Cardio,29.11
36,Male,110.2,1.77,HIIT,35.18
37,Female,72.9,1.76,Strength,23.53
49,Male,82.1,1.86,Strength,23.73
24,Female,58.9,1.76,HIIT,19.01
58,Male,82.2,1.87,HIIT,23.51
50,Male,96.7,1.72,Strength,32.69
57,Male,81.4,1.86,Cardio,23.53
56,Male,107.8,1.73,Yoga,36.02
35,Female,65.8,1.62,Cardio,25.07
57,Female,68.5,1.56,HIIT,28.15
18,Female,63.9,1.59,Strength,25.28
28,Male,76.3,1.62,Strength,29.07
45,Female,44.5,1.65,Yoga,16.35
42,Female,50.7,1.75,Strength,16.56
40,Female,55.1,1.61,Yoga,21.26
48,Male,73.7,1.61,Cardio,28.43
47,Male,55.6,1.77,Cardio,17.75
59,Male,86.9,1.76,Strength,28.05
52,Female,60.3,1.68,Strength,21.36
24,Female,40.4,1.64,HIIT,15.02
33,Female,78.5,1.66,HIIT,28.49
43,Male,102.6,1.72,Strength,34.68
19,Male,110.8,1.91,Strength,30.37
18,Female,60.9,1.79,Cardio,19.01
29,Male,55.7,1.61,Strength,21.49
22,Male,110.5,1.92,HIIT,29.98
54,Male,55.2,1.71,Cardio,18.88
49,Male,46.5,1.72,Yoga,15.72
26,Female,70.9,1.66,HIIT,25.73
58,Male,74.6,1.75,HIIT,24.36
52,Male,45.1,1.72,Cardio,15.24
36,Male,99.9,1.99,Yoga,25.23
33,Male,117,1.61,HIIT,45.14
20,Female,75.9,1.73,Strength,25.36
37,Female,71.2,1.64,HIIT,26.47
41,Male,78.8,1.72,Cardio,26.64
50,Male,50.6,1.69,Cardio,17.72
41,Male,82.5,1.79,Cardio,25.75
28,Male,108.5,1.79,HIIT,33.86
25,Male,49.9,1.98,Yoga,12.73
53,Male,125.1,1.91,Strength,34.29
55,Female,79.7,1.66,Cardio,28.92
57,Male,126.8,1.63,Yoga,47.72
37,Female,54.6,1.57,Strength,22.15
52,Female,47.8,1.54,Cardio,20.16
42,Male,97.9,1.91,Strength,26.84
52,Female,63.1,1.54,Strength,26.61
42,Female,72.4,1.69,Yoga,25.35
46,Female,58.9,1.7,Strength,20.38
35,Female,50.4,1.6,Cardio,19.69
35,Female,64.2,1.59,Yoga,25.39
19,Female,58.8,1.77,HIIT,18.77
52,Male,105.2,1.62,HIIT,40.09
33,Female,45.9,1.5,Yoga,20.4
58,Female,65.2,1.63,HIIT,24.54
53,Female,56.3,1.79,Strength,17.57
50,Male,90,1.7,Cardio,31.14
21,Female,60,1.7,Strength,20.76
50,Male,51.5,1.71,Yoga,17.61
31,Female,63.1,1.64,Cardio,23.46
38,Male,91.5,1.77,Yoga,29.21
37,Male,48.7,1.67,Yoga,17.46
25,Female,57.8,1.56,Yoga,23.75
24,Female,42,1.75,Strength,13.71
20,Male,128.4,1.92,Cardio,34.83
34,Female,74.2,1.57,Cardio,30.1
50,Male,89.6,1.68,Cardio,31.75
29,Male,125.9,2,Strength,31.48
39,Male,105.5,1.99,HIIT,26.64
39,Male,93.4,1.7,Strength,32.32
47,Male,82.1,1.84,Strength,24.25
55,Female,42.9,1.69,Yoga,15.02
55,Male,128.4,1.68,Cardio,45.49
25,Male,112.4,1.96,Cardio,29.26
44,Female,77.7,1.79,HIIT,24.25
44,Male,89.3,1.99,HIIT,22.55
51,Female,70.3,1.55,Yoga,29.26
38,Female,59.1,1.72,Cardio,19.98
47,Female,49.9,1.69,HIIT,17.47
50,Male,101.7,1.67,HIIT,36.47
45,Male,93,1.91,Cardio,25.49
50,Male,87.4,1.6,Strength,34.14
22,Female,55.1,1.61,HIIT,21.26
36,Male,123.7,1.69,Cardio,43.31
21,Female,61.3,1.57,HIIT,24.87
52,Male,72.3,1.94,Yoga,19.21
34,Female,69.2,1.53,HIIT,29.56
45,Male,81.4,1.61,Cardio,31.4
47,Male,84.8,1.86,HIIT,24.51
46,Male,55.1,1.72,Yoga,18.62
23,Female,59,1.78,Yoga,18.62
52,Female,64.9,1.51,HIIT,28.46
58,Male,109.7,1.75,HIIT,35.82
54,Male,78.4,1.9,Yoga,21.72
41,Female,76.7,1.79,Yoga,23.94
46,Female,63.1,1.61,Strength,24.34
48,Female,62.9,1.58,Strength,25.2
52,Male,85.6,1.74,Yoga,28.27
50,Female,66.3,1.57,HIIT,26.9
38,Male,61.3,1.97,Cardio,15.8
49,Female,44.1,1.65,HIIT,16.2
40,Male,63.8,1.62,HIIT,24.31
50,Female,55.4,1.55,Strength,23.06
20,Female,74.7,1.58,Strength,29.92
35,Female,78,1.67,Strength,27.97
42,Female,57.5,1.67,Yoga,20.62
59,Female,60.7,1.73,Yoga,20.28
48,Male,69,1.74,HIIT,22.79
20,Female,75.8,1.78,HIIT,23.92
57,Female,75.7,1.63,Cardio,28.49
41,Female,71.2,1.64,HIIT,26.47
49,Male,85,1.68,HIIT,30.12
39,Female,63.6,1.56,Strength,26.13
40,Male,73.2,1.94,Strength,19.45
19,Female,48.3,1.52,Strength,20.91
44,Female,42.8,1.78,Strength,13.51
59,Male,88.1,1.76,Strength,28.44
19,Female,72.4,1.75,Cardio,23.64
43,Male,73.2,1.88,Cardio,20.71
34,Male,110.5,1.86,Cardio,31.94
57,Female,46.1,1.76,Strength,14.88
50,Male,90.8,1.71,Yoga,31.05
26,Female,59.3,1.51,Strength,26.01
56,Female,45.1,1.73,Strength,15.07
46,Male,45,1.77,Cardio,14.36
59,Male,89.4,1.62,Strength,34.06
43,Male,127.7,1.69,Cardio,44.71
52,Male,70.9,1.72,Strength,23.97
42,Female,49.2,1.5,HIIT,21.87
41,Female,62.3,1.79,Yoga,19.44
30,Male,64.1,1.87,Yoga,18.33
24,Female,69.7,1.75,Cardio,22.76
53,Female,56.9,1.59,HIIT,22.51
37,Female,53,1.71,Yoga,18.13
18,Female,72.7,1.55,Cardio,30.26
25,Male,76.5,1.96,Strength,19.91
33,Male,113.6,1.99,Strength,28.69
31,Female,62.5,1.62,HIIT,23.81
29,Male,95.2,1.86,Yoga,27.52
40,Male,51.7,1.82,Strength,15.61
32,Male,105.3,1.67,Cardio,37.76
45,Female,71.2,1.68,Strength,25.23
51,Female,78.1,1.51,Strength,34.25
19,Female,50.6,1.68,Yoga,17.93
49,Male,70.2,1.89,Yoga,19.65
40,Female,62.6,1.53,Cardio,26.74
39,Female,60.6,1.65,HIIT,22.26
42,Male,76.4,1.97,HIIT,19.69
39,Female,63.3,1.71,Strength,21.65
39,Female,68.6,1.64,Cardio,25.51
59,Male,123.3,1.88,HIIT,34.89
23,Male,107,1.94,HIIT,28.43
32,Male,68.3,1.92,Strength,18.53
54,Female,47.8,1.6,Cardio,18.67
50,Female,58.4,1.79,HIIT,18.23
25,Female,74.3,1.71,Yoga,25.41
22,Male,106.8,1.82,Yoga,32.24
56,Male,125.5,1.8,Strength,38.73
21,Female,55.2,1.55,Strength,22.98
23,Female,71.4,1.72,Strength,24.13
49,Male,77.7,1.61,Strength,29.98
47,Male,88.4,1.6,HIIT,34.53
52,Male,104.8,1.99,Cardio,26.46
57,Male,82.2,1.69,Strength,28.78
33,Female,68.2,1.75,Strength,22.27
30,Male,91.4,1.99,HIIT,23.08
59,Female,42.1,1.65,Strength,15.46
47,Female,68.7,1.76,Strength,22.18
36,Female,47.2,1.74,Cardio,15.59
34,Male,92,1.76,Yoga,29.7
36,Male,56.2,1.95,Strength,14.78
45,Male,58.4,1.72,HIIT,19.74
43,Male,82.9,1.95,Cardio,21.8
54,Female,66.9,1.74,HIIT,22.1
43,Male,66.3,1.85,Cardio,19.37
40,Male,93.6,1.93,Cardio,25.13
26,Female,64.1,1.5,Strength,28.49
29,Male,86.7,1.62,Strength,33.04
18,Female,62,1.59,Strength,24.52
18,Female,58.1,1.61,Yoga,22.41
51,Female,64.9,1.6,Yoga,25.35
49,Female,69.3,1.62,HIIT,26.41
42,Female,42.7,1.74,Strength,14.1
57,Female,51.4,1.63,Yoga,19.35
18,Female,67.4,1.6,Strength,26.33
33,Female,55.6,1.61,Yoga,21.45
56,Male,125.3,1.86,Yoga,36.22
22,Male,102.1,1.85,Cardio,29.83
39,Male,61.9,1.77,Strength,19.76
46,Male,108.8,1.64,Strength,40.45
20,Female,51.1,1.58,Yoga,20.47
29,Male,81.7,1.99,Strength,20.63
43,Female,42.7,1.66,Yoga,15.5
33,Male,81.8,1.99,Strength,20.66
54,Male,54.6,1.76,Cardio,17.63
39,Male,107.7,1.88,Strength,30.47
46,Female,56.9,1.6,Cardio,22.23
31,Male,78.8,1.71,HIIT,26.95
45,Female,48.2,1.64,Strength,17.92
22,Female,50.7,1.59,Strength,20.05
47,Male,86.6,1.99,Strength,21.87
22,Male,96.3,1.63,Cardio,36.25
29,Male,80.8,1.98,Strength,20.61
33,Female,58,1.53,Strength,24.78
43,Male,95.9,1.85,Yoga,28.02
43,Female,61.5,1.58,HIIT,24.64
38,Female,40.6,1.79,Cardio,12.67
56,Male,82.5,1.87,Yoga,23.59
53,Male,105.1,1.84,Cardio,31.04
50,Female,58.1,1.58,Yoga,23.27
47,Female,61,1.76,HIIT,19.69
54,Female,64.5,1.53,Yoga,27.55
40,Male,58.2,1.98,Cardio,14.85
27,Female,69.5,1.76,Strength,22.44
22,Male,62.2,1.84,Strength,18.37
53,Female,68,1.7,HIIT,23.53
51,Female,56.3,1.5,Cardio,25.02
48,Male,94.5,1.7,Cardio,32.7
27,Female,58,1.79,Cardio,18.1
36,Male,84,1.94,HIIT,22.32
49,Male,61,1.87,Strength,17.44
18,Female,64.8,1.53,Yoga,27.68
22,Male,45.7,1.77,HIIT,14.59
21,Male,80.9,1.9,Yoga,22.41
33,Female,64.1,1.63,Strength,24.13
41,Male,67,1.77,HIIT,21.39
33,Male,106.5,1.6,Strength,41.6
19,Male,95.1,1.85,Yoga,27.79
45,Female,65.5,1.57,Cardio,26.57
49,Male,105.7,1.64,Cardio,39.3
44,Female,48,1.76,Yoga,15.5
37,Female,69.5,1.5,Cardio,30.89
41,Male,66.1,1.69,Yoga,23.14
29,Male,68,1.7,HIIT,23.53
52,Male,50.3,1.78,HIIT,15.88
50,Female,69.3,1.68,HIIT,24.55
50,Male,86.7,1.63,Cardio,32.63
54,Male,125.9,1.94,Strength,33.45
29,Male,88.1,1.93,Cardio,23.65
20,Male,124.3,1.82,Cardio,37.53
18,Male,62,1.85,Strength,18.12
50,Female,69.7,1.72,Strength,23.56
57,Female,60.9,1.52,Strength,26.36
27,Male,76.5,1.97,Strength,19.71
46,Male,94.7,1.82,Cardio,28.59
30,Male,67.9,1.75,Yoga,22.17
29,Male,121.1,1.87,HIIT,34.63
48,Female,71.5,1.64,Yoga,26.58
19,Male,98.6,1.7,Cardio,34.12
52,Female,68.2,1.63,Strength,25.67
40,Female,57.7,1.69,HIIT,20.2
34,Male,124.6,1.63,HIIT,46.9
43,Female,73,1.59,Yoga,28.88
25,Female,59.4,1.51,Cardio,26.05
46,Female,52,1.65,Cardio,19.1
43,Female,42.2,1.65,Cardio,15.5
27,Male,89.3,1.64,HIIT,33.2
43,Male,110,1.76,Yoga,35.51
51,Female,66.2,1.58,HIIT,26.52
58,Male,58.6,1.66,HIIT,21.27
24,Male,51,1.67,Strength,18.29
21,Male,101.5,1.95,Yoga,26.69
28,Male,114.2,1.87,Strength,32.66
46,Male,54.4,1.72,Cardio,18.39
53,Female,52.4,1.57,HIIT,21.26
